name,host_name,neighbourhood,room_type,price,minimum_nights,availability_365
"Lovely cabin, great Asheville spot",Jack,28806,Entire home/apt,105,7,326
Glamping w HOT TUB + AC!,Joanna And Josh,28806,Entire home/apt,125,2,228
"Good size bedroom,  private",Diana,28806,Private room,45,1,364
Mixed Dorm,BonPaul,28806,Shared room,24,1,361
Mixed Dorm Bunk at BPS Hostel,BonPaul,28806,Shared room,24,1,353
Modern Home - Views - HOT TUB,Kelsey,28806,Entire home/apt,105,2,337
Bright Suite with Sunroom,Jaclynn,28806,Private room,65,1,339
"Serene, spacious, cozy and clean!",Kelly,28806,Private room,75,1,337
West Asheville top floor sleeps 3,Jenifer,28806,Private room,75,2,109
The Mimosa Room,Martha,28806,Private room,65,1,262
Eclectic Room with Jacuzzi tub,Cara,28806,Private room,45,1,87
West Asheville Bound,Richard,28806,Private room,45,2,365
Squash House,"Jamie, Bri, And Layne",28806,Private room,80,1,363
Bedroom in West Asheville Bungalow,Sally,28806,Private room,60,1,156
Villa in W. Asheville near Downtown,Elizabeth,28806,Private room,57,1,0
Cozy Cabin Studio Apartment,Patch,28806,Private room,85,1,334
artful room and private bath,Angela,28806,Private room,50,1,339
West Asheville Private Bed and Bath,Walter,28806,Private room,58,2,308
Close to everything!!!!!,Andrea,28806,Private room,110,1,365
400+ REVS Apt #7 in Artsy W ASHV!,Cathy,28806,Entire home/apt,65,7,180
the rad pad,Meg,28806,Entire home/apt,111,1,198
"Great location, so cute and cozy",Katie And Jason,28806,Entire home/apt,125,3,279
Charming Bungalow - Great Location,Chloe,28806,Entire home/apt,105,3,289
West AVL SCENT FREE Green Getaway,Susan,28806,Entire home/apt,88,2,301
Cozy Log Cabin near downtown,Xavier,28806,Entire home/apt,175,2,15
Cozy River Arts/ W. Asheville Apt.,Amber,28806,Entire home/apt,96,2,312
Bright Efficiency in West Asheville,Breccia,28806,Entire home/apt,85,2,68
Super Cool West Asheville Condo,Tracey,28806,Entire home/apt,80,1,296
"380 Reviews Apt #5, 
Artsy W ASHV!",Cathy,28806,Entire home/apt,101,3,161
Cute 2 BR-Heart of Hip W. Asheville,Lauryl,28806,Entire home/apt,99,2,51
West AVL Urban Retreat near Park,Ricky,28806,Entire home/apt,145,1,52
Urban Oasis,David And Melissa,28806,Entire home/apt,115,1,271
Walkable West Asheville Hideaway,Rebecca,28806,Entire home/apt,125,2,113
One block from Haywood Road,Mellissa,28806,Entire home/apt,99,2,307
West Asheville Couple's Retreat,Emily,28806,Entire home/apt,99,2,1
Dog Friendly West Asheville Cottage,Kathleen,28806,Entire home/apt,120,2,4
Cozy 2 bedroom. Short walk to WAVL,Kelly,28806,Entire home/apt,135,2,342
Sweet Studio - Walk West Asheville,Kari,28806,Entire home/apt,90,2,324
The Hideaway in West Asheville,Joe,28806,Entire home/apt,140,2,298
Artful Home in West Asheville,Angela,28806,Entire home/apt,120,1,337
Woodsy Retreat In Town,James,28806,Entire home/apt,279,2,13
Relax in West Asheville Homestay,Grace,28806,Entire home/apt,260,2,266
Modern/ Earthy West AVL Bungalow,Heidi,28806,Entire home/apt,150,1,351
Dog Friendly Bungalow in W. AVL,Morgan,28806,Entire home/apt,115,2,25
1930's charmer in West Asheville,Patch,28806,Entire home/apt,350,1,327
Sweet spot in West Asheville,Robyn,28806,Entire home/apt,140,2,235
